1,The megaprior heuristic for discovering protein sequence patterns.,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
2,"Skyt The GANNsystem. Genetic Algorithms generating feedforward neural networks. http://www.daimi.aau.dk/~damgaard/NNSG/ 25 Du Junping,K.L.Rasmussen,J.Aagaard,B.Mayoh, T.Srensen,etc. Applications of Machine Learning: a Medical Follow Up Study.",5,/Artificial_Intelligence/Machine_Learning/Rule_Learning/
5,"(1997) Variational methods for inference and estimation in graphical models. Unpublished doctoral dissertation,",3,/Artificial_Intelligence/Machine_Learning/Probabilistic_Methods/
6,ftp:##ftp.engr.orst.edu#pub#dambrosi#uai-96.ps.Z,3,/Artificial_Intelligence/Machine_Learning/Probabilistic_Methods/
7,http:##www.cs.orst.edu:80#~tadepall#research#papers#speedup-learning.ps,6,/Artificial_Intelligence/Machine_Learning/Theory/
8,http:##www.cs.berkeley.edu#~murphyk#Articles#cpm96.ps.gz,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
9,http:##www.math.tau.ac.il#~mansour#papers#95eurocolt.ps.gz,6,/Artificial_Intelligence/Machine_Learning/Theory/
10,http:##www.pstat.ucsb.edu#~yuedong#papers#grkpack.ps,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
12,"""Estimating Bayes factors via posterior simulation with the Laplace-Metropolis estimator,""",3,/Artificial_Intelligence/Machine_Learning/Probabilistic_Methods/
13,Unifying empirical and explanation-based learning by modeling the utility of learned knowledge.,0,/Artificial_Intelligence/Machine_Learning/Case-Based/
15,Back propagation is sensitive to initial conditions.,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
16,http:##www.cs.utexas.edu#users#bogo#paper.ps,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
17,Topography and ocular dominance: A model exploring positive correla-tions.,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
18,"Validation of average error rate over classifiers,",2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
19,Learning in hybrid noise environments using statistical queries.,6,/Artificial_Intelligence/Machine_Learning/Theory/
20,http:##www.cs.colostate.edu#~pyeatt#rltree.ps,4,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/
22,"(1997b) Applications and extensions of MCMC in IRT: Multiple item types, missing data, and rated responses.",3,/Artificial_Intelligence/Machine_Learning/Probabilistic_Methods/
23,General bounds on statistical query learning and PAC learning with noise via hypothesis boosting.,6,/Artificial_Intelligence/Machine_Learning/Theory/
24,"Neural Network Applicability: Classifying the Problem Space,",2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
25,Formal rules for selecting prior distributions: a review and annotated bibliography.,3,/Artificial_Intelligence/Machine_Learning/Probabilistic_Methods/
26,"A Delay Damage Model Selection Algorithm for NARX Neural Networks,",2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
27,http:##www.aubg.bg#faculty#cs#nikolaev#papers#ecai96.ps.gz,5,/Artificial_Intelligence/Machine_Learning/Rule_Learning/
28,Towards more creative case-based design systems.,0,/Artificial_Intelligence/Machine_Learning/Case-Based/
29,http:##www.ri.cmu.edu#afs#cs.cmu.edu#project#link#www#papers#ps#gmm.ps,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
30,M.L. (1996) Design by Interactive Exploration Using Memory-Based Techniques.,0,/Artificial_Intelligence/Machine_Learning/Case-Based/
31,Learning generative models with the up-propagation algorithm.,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
32,Using a case-base of surfaces to speed-up reinforcement learning.,4,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/
33,A teaching method for memory-based control.,4,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/
34,Generative models for discovering sparse distributed representations.,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
36,Finding structure in reinforcement learning.,4,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/
37,Long. On-line learning with linear loss constraints.,6,/Artificial_Intelligence/Machine_Learning/Theory/
38,Markov chain Monte Carlo convergence diagnostics: A comparative review.,3,/Artificial_Intelligence/Machine_Learning/Probabilistic_Methods/
39,Competitive anti-hebbian learning of invariants.,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
40,http:##c.gp.cs.cmu.edu:5103#afs#cs.cmu.edu#project#reinforcement#papers#deng.multires.ps,0,/Artificial_Intelligence/Machine_Learning/Case-Based/
41,Acting under uncertainty: Discrete bayesian models for mobile-robot navigation.,4,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/
42,The Pandemonium system of reflective agents.,2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
45,ftp:##ftp.cc.gatech.edu#pub#ai#symposia#aaai-spring-95#papers#acceptances#gurer.ps.gz,0,/Artificial_Intelligence/Machine_Learning/Case-Based/
46,ftp:##ftp.cc.gatech.edu#pub#ai#symposia#aaai-spring-95#papers#acceptances#oehlmann.ps.gz,0,/Artificial_Intelligence/Machine_Learning/Case-Based/
48,Theory revision in fault hierarchies.,6,/Artificial_Intelligence/Machine_Learning/Theory/
50,A comparison of selection schemes used in genetic algorithms.,1,/Artificial_Intelligence/Machine_Learning/Genetic_Algorithms/
51,http:##www.research.att.com#~yoav#papers#lsearch.ps.gz,6,/Artificial_Intelligence/Machine_Learning/Theory/
52,Markov decision pro cesses in large state spaces.,4,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/
54,"Recurrent neural networks for blind separation of sources,",2,/Artificial_Intelligence/Machine_Learning/Neural_Networks/
55,"The efficient learning of multiple task sequences,",4,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/
56,http:##www.cs.rutgers.edu#~ellman#sara98#papers#ellman-summary.ps,0,/Artificial_Intelligence/Machine_Learning/Case-Based/
